review_id,reviewer_id,book_id,rating
3372,105,AD222,5
7340,113,AD222,3
20430,234,AD222,3
40653,459,AD222,4
51337,550,AD222,2
52687,613,AD222,4
80763,870,AD222,3
98430,1014,AD222,4
115590,1245,AD222,2
126839,1307,AD222,4
148957,1546,AD222,3
153761,1598,AD222,4
154881,1629,AD222,4
186666,1932,AD222,3
219753,2250,AD222,3
225066,2316,AD222,3
231452,2366,AD222,5
230679,2385,AD222,4
238574,2459,AD222,5
250653,2559,AD222,3
263947,2686,AD222,5
270987,2796,AD222,3
287653,2929,AD222,2
291232,2944,AD222,5
296458,3022,AD222,3
298539,3024,AD222,5
302130,3051,AD222,4
323753,3290,AD222,4
326888,3356,AD222,3
338657,3443,AD222,3
340449,3453,AD222,2
340685,3491,AD222,4
343586,3521,AD222,3
347788,3565,AD222,4
361435,3649,AD222,5
363736,3673,AD222,5
389949,3948,AD222,4
393582,4017,AD222,3
433939,4378,AD222,3
435579,4434,AD222,3
451562,4577,AD222,4
459438,4632,AD222,4
460762,4669,AD222,3
473754,4791,AD222,5
501938,5057,AD222,4
514076,5216,AD222,5
514771,5218,AD222,2
527760,5337,AD222,3
529876,5374,AD222,4
544157,5498,AD222,4
547142,5513,AD222,3
557530,5605,AD222,3
561186,5697,AD222,3
561685,5701,AD222,5
571662,5778,AD222,4
575673,5829,AD222,3
579362,5855,AD222,3
582064,5884,AD222,5
591354,5967,AD222,4
599188,6079,AD222,3
602566,6091,AD222,3
617635,6211,AD222,4
623453,6287,AD222,5
625849,6307,AD222,4
627534,6309,AD222,3
635959,6418,AD222,4
648763,6550,AD222,4
653638,6574,AD222,3
653462,6596,AD222,4
655081,6631,AD222,3
660135,6636,AD222,3
669057,6747,AD222,2
673233,6765,AD222,5
677739,6816,AD222,5
683046,6876,AD222,4
693890,7028,AD222,5
700035,7035,AD222,4
701287,7099,AD222,5
705080,7130,AD222,5
728249,7331,AD222,4
726582,7347,AD222,3
732564,7389,AD222,5
736931,7400,AD222,5
745074,7524,AD222,3
759356,7649,AD222,5
764334,7677,AD222,4
765839,7697,AD222,4
767978,7757,AD222,3
770870,7778,AD222,4
773153,7784,AD222,4
774648,7794,AD222,4
775644,7800,AD222,5
778135,7816,AD222,4
784469,7913,AD222,5
799147,8038,AD222,3
799056,8046,AD222,3
803038,8068,AD222,4
815274,8226,AD222,4
819435,8229,AD222,4
826581,8346,AD222,4
839738,8435,AD222,5
841151,8462,AD222,4
848537,8522,AD222,5
852933,8562,AD222,3
852261,8583,AD222,4
866449,8713,AD222,5
866371,8734,AD222,2
873342,8775,AD222,5
880940,8849,AD222,3
884230,8872,AD222,5
892948,8977,AD222,5
913351,9184,AD222,3
918337,9220,AD222,3
932453,9377,AD222,3
934450,9394,AD222,4
935684,9440,AD222,5
936184,9445,AD222,5
951039,9549,AD222,3
961330,9643,AD222,4
959550,9645,AD222,4
961741,9658,AD222,4
961547,9662,AD222,5
964241,9683,AD222,5
978333,9816,AD222,5
976779,9846,AD222,1
981772,9889,AD222,4
994983,10032,AD222,4
1039473,10467,AD222,4
1052562,10587,AD222,4
1060558,10663,AD222,3
1063151,10682,AD222,5
1064970,10719,AD222,2
1071458,10772,AD222,5
1075289,10841,AD222,4
1083647,10883,AD222,3
1088845,10933,AD222,3
1090978,10987,AD222,3
1095087,11037,AD222,4
1099359,11052,AD222,4
1100056,11056,AD222,4
1096889,11057,AD222,5
1106764,11131,AD222,4
1109751,11148,AD222,3
1118739,11226,AD222,5
1133347,11380,AD222,4
1144689,11535,AD222,2
1150180,11581,AD222,2
1154247,11589,AD222,4
1152570,11595,AD222,4
1159033,11623,AD222,3
1163162,11693,AD222,3
1169647,11743,AD222,5
1173632,11768,AD222,5
1168488,11772,AD222,3
1174889,11837,AD222,3
1179860,11858,AD222,4
1208142,12123,AD222,5
1208254,12136,AD222,4
1212337,12160,AD222,3
1220086,12286,AD222,4
1227238,12310,AD222,5
1226262,12324,AD222,4
1225576,12331,AD222,4
1228678,12364,AD222,4
1237250,12422,AD222,4
1238864,12452,AD222,4
1243154,12485,AD222,3
1244278,12520,AD222,4
1247788,12565,AD222,3
1261367,12680,AD222,4
1263460,12694,AD222,3
1265365,12718,AD222,3
1271851,12769,AD222,4
1273750,12787,AD222,4
1278474,12858,AD222,5
1281383,12896,AD222,5
1288036,12916,AD222,5
1285377,12930,AD222,5
1291948,12967,AD222,4
1298548,13033,AD222,5
1306558,13123,AD222,3
1305967,13126,AD222,5
1305479,13133,AD222,4
1306986,13155,AD222,5
1317138,13209,AD222,3
1319238,13230,AD222,4
1322445,13269,AD222,3
1323833,13271,AD222,5
1324540,13285,AD222,5
1323676,13312,AD222,5
1325862,13320,AD222,4
1329345,13338,AD222,5
1326080,13340,AD222,4
1332236,13358,AD222,5
1330863,13371,AD222,4
1330288,13390,AD222,1
1340251,13453,AD222,4
1339588,13483,AD222,5
1345354,13507,AD222,4
1358745,13632,AD222,5
1355288,13640,AD222,4
1360253,13655,AD222,4
1366745,13712,AD222,5
1369853,13751,AD222,4
1384864,13912,AD222,3
1385569,13924,AD222,5
1385784,13941,AD222,4
1392244,13966,AD222,4
1395681,14037,AD222,5
1400056,14056,AD222,3
1403250,14082,AD222,5
1409752,14149,AD222,4
1413646,14182,AD222,4
1415246,14198,AD222,5
1425045,14295,AD222,2
1428832,14320,AD222,4
1440141,14442,AD222,2
1440190,14491,AD222,2
1442270,14492,AD222,4
1445849,14507,AD222,4
1447346,14519,AD222,4
1455036,14586,AD222,3
1469153,14744,AD222,4
1469970,14769,AD222,5
1484934,14883,AD222,4
1493544,14979,AD222,2
1504454,15098,AD222,3
1515457,15211,AD222,3
1531639,15355,AD222,5
1535258,15410,AD222,5
1537948,15427,AD222,4
1534784,15431,AD222,5
1539143,15434,AD222,4
1536576,15441,AD222,4
1545346,15499,AD222,5
1546742,15509,AD222,1
1548630,15516,AD222,5
1548351,15534,AD222,3
1552757,15584,AD222,3
1552177,15598,AD222,3
1561377,15690,AD222,5
1560788,15695,AD222,4
1567153,15724,AD222,4
1568154,15735,AD222,3
1567679,15755,AD222,4
1574051,15791,AD222,3
1573473,15807,AD222,4
1579250,15842,AD222,5
1578561,15846,AD222,5
1580954,15863,AD222,5
1587171,15942,AD222,4
1595089,16039,AD222,5
1601058,16068,AD222,4
1606545,16110,AD222,3
1621235,16247,AD222,2
1619382,16275,AD222,5
1634873,16421,AD222,5
1646738,16505,AD222,5
1647551,16526,AD222,4
1666434,16698,AD222,5
1665251,16703,AD222,5
1678071,16851,AD222,5
1681583,16898,AD222,4
1686842,16910,AD222,2
1690635,16941,AD222,3
1694141,16982,AD222,4
1698558,17043,AD222,2
1703632,17068,AD222,5
1703346,17079,AD222,4
1702272,17094,AD222,4
1706565,17130,AD222,5
1704588,17133,AD222,4
1715152,17203,AD222,4
1714273,17215,AD222,4
1719557,17252,AD222,3
1717381,17254,AD222,5
1721071,17281,AD222,4
1733943,17382,AD222,5
1735553,17408,AD222,2
1737834,17412,AD222,4
1735989,17448,AD222,4
1738478,17462,AD222,3
1743871,17509,AD222,4
1749750,17547,AD222,3
1749064,17554,AD222,5
1752657,17583,AD222,5
1755761,17618,AD222,5
1753586,17621,AD222,4
1760442,17646,AD222,5
1758878,17666,AD222,5
1764261,17703,AD222,5
1782473,17897,AD222,3
1783084,17914,AD222,4
1791877,17995,AD222,3
1795767,18024,AD222,3
1809239,18131,AD222,4
1808880,18168,AD222,3
1811773,18190,AD222,4
1819137,18228,AD222,4
1820246,18248,AD222,5
1819062,18252,AD222,3
1829144,18335,AD222,3
1840358,18461,AD222,4
1840776,18483,AD222,3
1846035,18495,AD222,5
1850570,18575,AD222,5
1856636,18602,AD222,3
1868143,18724,AD222,3
1867554,18729,AD222,5
1867074,18744,AD222,4
1866590,18755,AD222,4
1876089,18849,AD222,5
1882062,18882,AD222,5
1885688,18944,AD222,5
1897772,19049,AD222,3
1899887,19085,AD222,4
1907676,19152,AD222,5
1920233,19235,AD222,5
1916175,19236,AD222,3
1919555,19250,AD222,3
1925940,19299,AD222,4
1924168,19309,AD222,4
1930933,19342,AD222,3
1929287,19379,AD222,3
1938137,19418,AD222,4
1943031,19461,AD222,4
1944387,19530,AD222,5
1947558,19533,AD222,4
1956446,19610,AD222,5
1961867,19685,AD222,5
1968767,19754,AD222,5
1980037,19837,AD222,3
1977284,19856,AD222,5
1988233,19915,AD222,4
1986486,19950,AD222,3
1995870,20028,AD222,3
1997377,20050,AD222,5
1998578,20063,AD222,1
2001878,20096,AD222,3
2017346,20219,AD222,4
2019445,20239,AD222,2
2020271,20273,AD222,5
2025157,20308,AD222,4
2025854,20312,AD222,4
2037673,20449,AD222,5
2057451,20625,AD222,5
2061289,20701,AD222,4
2062480,20704,AD222,3
2066855,20723,AD222,4
2073044,20774,AD222,3
2072571,20796,AD222,5
2076158,20819,AD222,4
2080356,20859,AD222,5
2080287,20889,AD222,5
2088490,20974,AD222,3
2091859,20977,AD222,2
2094933,20982,AD222,3
2095438,20992,AD222,5
2095269,21021,AD222,5
2105736,21093,AD222,2
2121862,21280,AD222,3
2123256,21288,AD222,4
2129055,21345,AD222,4
2131531,21346,AD222,5
2129865,21363,AD222,2
2135737,21394,AD222,4
2135652,21408,AD222,3
2137440,21414,AD222,3
2147950,21529,AD222,5
2159857,21655,AD222,5
2158589,21674,AD222,2
2162270,21692,AD222,5
2182865,21893,AD222,4
2190733,21940,AD222,5
2190555,21960,AD222,3
2190361,21964,AD222,4
2198234,22016,AD222,5
2198743,22030,AD222,2
2201247,22059,AD222,5
2201455,22069,AD222,3
2200579,22084,AD222,5
2203160,22091,AD222,4
2207685,22161,AD222,2
2209984,22183,AD222,3
2217639,22215,AD222,5
2223867,22305,AD222,3
2227688,22364,AD222,4
2244470,22514,AD222,4
2250653,22559,AD222,5
2256576,22641,AD222,4
2260350,22653,AD222,5
2263187,22718,AD222,5
2271571,22786,AD222,4
2274561,22806,AD222,5
2278435,22819,AD222,4
2278966,22855,AD222,5
2279664,22860,AD222,5
2283464,22898,AD222,4
2290286,22988,AD222,4
2299334,23027,AD222,4
2297462,23036,AD222,5
2296483,23047,AD222,5
2301658,23074,AD222,4
2305635,23091,AD222,5
2303365,23098,AD222,4
2304777,23124,AD222,5
2309055,23145,AD222,4
2314364,23207,AD222,4
2329079,23369,AD222,5
2339141,23432,AD222,5
2345343,23496,AD222,5
2346846,23514,AD222,4
2348563,23548,AD222,3
2350855,23563,AD222,3
2350369,23572,AD222,2
2354275,23617,AD222,4
2361774,23691,AD222,4
2364480,23724,AD222,5
2376137,23798,AD222,4
2379243,23835,AD222,4
2385034,23884,AD222,5
2388435,23919,AD222,4
2389432,23926,AD222,5
2389839,23937,AD222,5
2390953,23962,AD222,3
2394443,23987,AD222,5
2394467,24011,AD222,4
2402057,24077,AD222,3
2403957,24096,AD222,3
2405388,24141,AD222,4
2411474,24188,AD222,4
2418545,24230,AD222,4
2419839,24237,AD222,5
2415187,24238,AD222,4
2423631,24267,AD222,3
2423573,24308,AD222,3
2432753,24380,AD222,4
2453888,24626,AD222,4
2461939,24658,AD222,5
2463745,24682,AD222,5
2472255,24777,AD222,5
2480788,24895,AD222,3
2485856,24914,AD222,5
2491142,24953,AD222,4
2495465,25019,AD222,5
2515431,25185,AD222,4
2522336,25259,AD222,4
2524139,25280,AD222,3
2525233,25285,AD222,3
2521581,25296,AD222,4
2527473,25347,AD222,5
2534360,25403,AD222,4
2535684,25440,AD222,5
2538086,25466,AD222,1
2544133,25474,AD222,3
2545752,25509,AD222,2
2543874,25512,AD222,3
2555956,25615,AD222,5
2559548,25643,AD222,3
2564254,25696,AD222,4
2565161,25712,AD222,5
2566648,25714,AD222,4
2567651,25727,AD222,4
2564786,25733,AD222,2
2569954,25753,AD222,5
2582367,25890,AD222,5
2595049,25999,AD222,5
2599240,26032,AD222,5
2595087,26037,AD222,5
2600777,26084,AD222,3
2603767,26104,AD222,3
2608730,26117,AD222,3
2609683,26179,AD222,4
2620863,26271,AD222,5
2622768,26295,AD222,4
2627148,26319,AD222,4
2652250,26572,AD222,4
2659778,26675,AD222,3
2663264,26696,AD222,3
2668572,26757,AD222,3
2670278,26780,AD222,3
2682833,26861,AD222,5
2677488,26862,AD222,5
2681375,26888,AD222,3
2684554,26899,AD222,4
2686555,26920,AD222,4
2686265,26927,AD222,4
2691357,26970,AD222,4
2693575,27010,AD222,3
2697640,27016,AD222,4
2707073,27143,AD222,5
2721439,27253,AD222,2
2724743,27290,AD222,3
2722881,27309,AD222,4
2728763,27350,AD222,5
2735863,27421,AD222,5
2740736,27443,AD222,4
2745937,27496,AD222,5
2747646,27522,AD222,5
2750369,27572,AD222,5
2750968,27577,AD222,5
2766045,27705,AD222,5
2779630,27826,AD222,5
2778389,27872,AD222,5
2784056,27896,AD222,4
2785255,27907,AD222,5
2784365,27908,AD222,3
2796784,28051,AD222,5
2797981,28060,AD222,4
2798480,28064,AD222,3
2799879,28077,AD222,4
2807931,28110,AD222,4
2807939,28118,AD222,4
2805176,28127,AD222,4
2818647,28233,AD222,4
2818153,28234,AD222,3
2815483,28237,AD222,5
2830238,28340,AD222,4
2832289,28411,AD222,5
2834883,28431,AD222,3
2843739,28476,AD222,4
2844656,28502,AD222,4
